1,20250406,支出,交通,23.0
2,20250406,收入,购物,13.0
3,20250407,支出,交通,163.0
4,20250408,支出,交通,223.0
6,20250409,收入,娱乐,15.0
7,20250410,支出,交通,66.0
8,20250411,支出,餐饮,45.0
10,20250412,支出,居家,26.0
5,20250413,支出,交通,74.0
9,20250414,支出,交通,93.0
11,20250414,支出,交通,82.0
12,20250415,收入,购物,70.0
13,20250416,支出,居家,22.0
14,20250416,支出,娱乐,54.0
15,20250416,支出,交通,28.0
16,20250416,支出,餐饮,55.0
17,20250416,支出,餐饮,77.0
18,20250417,收入,购物,99.0
19,20250417,收入,购物,44.0
20,20250417,收入,购物,11.0
21,20250417,收入,购物,11.0
22,20250417,支出,餐饮,55.0
23,20250417,收入,购物,66.0
